audit_classification,definition,family,missing_semantics,predictor,reason_retained,recommended_transform,support_requirement,transformation_reason,unit
SPARSE,Interarrival mean seconds calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_mean_seconds,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""participating transactions with timestamps""",Non-negative magnitude/count is potentially heavy-tailed.,seconds
SPARSE,Interarrival median seconds calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_median_seconds,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""participating transactions with timestamps""",Non-negative magnitude/count is potentially heavy-tailed.,seconds
SPARSE,Interarrival p10 calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_p10,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,ROBUST_SCALER,"""participating transactions with timestamps""",Observed distribution is heavy-tailed; avoid mean-sensitive scaling.,numeric
SPARSE,Interarrival p75 calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_p75,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,STANDARD_SCALER,"""participating transactions with timestamps""",Unbounded or shape statistic on a moderate numerical scale.,numeric
SPARSE,Interarrival p90 calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_p90,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,STANDARD_SCALER,"""participating transactions with timestamps""",Unbounded or shape statistic on a moderate numerical scale.,numeric
SPARSE,Interarrival skewness calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_skewness,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,ROBUST_SCALER,"""participating transactions with timestamps""",Observed distribution is heavy-tailed; avoid mean-sensitive scaling.,shape_statistic
SPARSE,Interarrival std seconds calculated by the temporal V2 extractor.,temporal,NOT_SUPPORTED_OR_NOT_OBSERVED,temporal__interarrival_std_seconds,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""participating transactions with timestamps""",Non-negative magnitude/count is potentially heavy-tailed.,seconds
SPARSE,Consolidation event count calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__consolidation_event_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-participating normalized transactions""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Dominant topology ratio calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__dominant_topology_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-participating normalized transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,External input lock mean calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__external_input_lock_mean,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,STANDARD_SCALER,"""target-participating normalized transactions""",Unbounded or shape statistic on a moderate numerical scale.,numeric
SPARSE,Fragmentation event count calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__fragmentation_event_count,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-participating normalized transactions""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Input cell count cv calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__input_cell_count_cv,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,STANDARD_SCALER,"""target-participating normalized transactions""",Unbounded or shape statistic on a moderate numerical scale.,coefficient
SPARSE,Input cell count mean calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__input_cell_count_mean,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-participating normalized transactions""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Input cell count median calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__input_cell_count_median,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-participating normalized transactions""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Many to many ratio calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__many_to_many_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-participating normalized transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Many to one ratio calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__many_to_one_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-participating normalized transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,One to many ratio calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__one_to_many_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-participating normalized transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,One to one ratio calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__one_to_one_ratio,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-participating normalized transactions""",Bounded dimensionless value; preserve its domain.,ratio
SPARSE,Output cell count cv calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__output_cell_count_cv,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,STANDARD_SCALER,"""target-participating normalized transactions""",Unbounded or shape statistic on a moderate numerical scale.,coefficient
SPARSE,Output cell count mean calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__output_cell_count_mean,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,LOG1P_THEN_ROBUST_SCALER,"""target-participating normalized transactions""",Non-negative magnitude/count is potentially heavy-tailed.,count
SPARSE,Topology entropy calculated by the topology V2 extractor.,topology,NOT_SUPPORTED_OR_NOT_OBSERVED,topology__topology_entropy,Validated candidate-set membership; complete-case availability; no prohibited metadata or rule output.,NONE_OR_STANDARD_SCALER,"""target-participating normalized transactions""",Bounded dimensionless value; preserve its domain.,normalized_entropy
